Number,Common Name,Scientific Name,Count,Location,Date,LocID,SubID
35,Cooper's Hawk,Accipiter cooperii,1,Central Park,07 Jan 2023,L191106,S125612269
34,Redhead,Aythya americana,1,Central Park--The Pool,06 Jan 2023,L318103,S125557066
33,Northern Saw-whet Owl,Aegolius acadicus,1,Central Park--Arthur Ross Pinetum,02 Jan 2023,L826628,S125209666
32,Great Black-backed Gull,Larus marinus,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
31,Ring-billed Gull,Larus delawarensis,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
30,American Coot,Fulica americana,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
29,Horned Grebe,Podiceps auritus,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
28,Pied-billed Grebe,Podilymbus podiceps,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
27,Ruddy Duck,Oxyura jamaicensis,20,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
26,Red-breasted Merganser,Mergus serrator,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
25,Hooded Merganser,Lophodytes cucullatus,3,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
24,Bufflehead,Bucephala albeola,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
23,American Black Duck,Anas rubripes,2,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
22,Wood Duck,Aix sponsa,1,Central Park--Jacqueline Kennedy Onassis Reservoir,02 Jan 2023,L191107,S125207586
21,American Goldfinch,Spinus tristis,1,Central Park--Evodia Field,02 Jan 2023,L2591837,S125191166
20,House Finch,Haemorhous mexicanus,3,Central Park--Evodia Field,02 Jan 2023,L2591837,S125191166
19,White-breasted Nuthatch,Sitta carolinensis,1,Central Park--Evodia Field,02 Jan 2023,L2591837,S125191166
18,Red-tailed Hawk,Buteo jamaicensis,1,Central Park--Evodia Field,02 Jan 2023,L2591837,S125191166
17,Great Horned Owl,Bubo virginianus,1,Central Park--Cedar Hill,02 Jan 2023,L5197378,S125185605
16,Northern Cardinal,Cardinalis cardinalis,2,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
15,Song Sparrow,Melospiza melodia,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
14,White-throated Sparrow,Zonotrichia albicollis,30,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
13,House Sparrow,Passer domesticus,5,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
12,American Robin,Turdus migratorius,3,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
11,Hermit Thrush,Catharus guttatus,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
10,European Starling,Sturnus vulgaris,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
9,Tufted Titmouse,Baeolophus bicolor,2,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
8,Black-capped Chickadee,Poecile atricapillus,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
7,Blue Jay,Cyanocitta cristata,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
6,Red-bellied Woodpecker,Melanerpes carolinus,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
5,Great Blue Heron,Ardea herodias,1,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
4,Rock Pigeon,Columba livia,10,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
3,Mallard,Anas platyrhynchos,40,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
2,Northern Shoveler,Spatula clypeata,2,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
1,Canada Goose,Branta canadensis,5,Central Park--The Pond and Hallett Sanctuary,02 Jan 2023,L765570,S125179059
